symbol,code_bin,bit_length
0,10,2
1,11,2
2,011,3
3,0010,4
4,0101,4
5,00001,5
6,00011,5
7,01000,5
8,000000,6
9,000101,6
10,001101,6
11,001111,6
12,010011,6
13,0001000,7
14,0011000,7
15,0011100,7
16,0100100,7
17,00000100,8
18,00000110,8
19,00010010,8
20,00110010,8
21,00111011,8
22,01001010,8
23,01001011,8
24,000001011,9
25,000100110,9
26,000100111,9
27,001100110,9
28,001110100,9
29,001110101,9
30,0000010100,10
31,0000011100,10
32,0000011111,10
33,0000011101,10
34,00000101011,11
35,00000111101,11
36,00110011101,11
37,00110011111,11
38,000001010100,12
39,001100111001,12
40,001100111000,12
41,001100111101,12
42,0000010101011,13
43,0000011110001,13
44,0011001111000,13
45,0000011110010,13
46,00000111100000,14
47,00000111100001,14
48,00000101010100,14
49,00110011110010,14
50,000001111001100,15
51,000001010101011,15
52,001100111100111,15
53,000001111001110,15
54,001100111100110,15
55,0000010101010100,16
56,0000011110011111,16
57,0000010101010101,16
58,00000111100111101,17
59,00000111100110111,17
60,00000111100111100,17
61,00000111100110101,17
62,000001111001101101,18
63,000001111001101000,18
64,0000011110011011000,19
65,0000011110011010011,19
66,0000011110011011001,19
67,00000111100110100100,20
68,0000011110011010010111010,25
69,0000011110011010010110100,25
70,0000011110011010010110101,25
71,0000011110011010010110110,25
72,0000011110011010010110111,25
73,0000011110011010010111000,25
74,0000011110011010010111001,25
75,0000011110011010010111011,25
76,0000011110011010010111100,25
77,0000011110011010010111101,25
78,0000011110011010010111110,25
79,0000011110011010010111111,25
80,00000111100110100101000000,26
81,00000111100110100101000001,26
82,00000111100110100101000010,26
83,00000111100110100101000011,26
84,00000111100110100101000100,26
85,00000111100110100101000101,26
86,00000111100110100101000110,26
87,00000111100110100101000111,26
88,00000111100110100101001000,26
89,00000111100110100101001001,26
90,00000111100110100101001010,26
91,00000111100110100101001011,26
92,00000111100110100101001100,26
93,00000111100110100101001101,26
94,00000111100110100101001110,26
95,00000111100110100101001111,26
96,00000111100110100101010000,26
97,00000111100110100101010001,26
98,00000111100110100101010010,26
99,00000111100110100101010011,26
100,00000111100110100101010100,26
101,00000111100110100101010101,26
102,00000111100110100101010110,26
103,00000111100110100101010111,26
104,00000111100110100101011000,26
105,00000111100110100101011001,26
106,00000111100110100101011010,26
107,00000111100110100101011011,26
108,00000111100110100101011100,26
109,00000111100110100101011101,26
110,00000111100110100101011110,26
111,00000111100110100101011111,26
112,00000111100110100101100000,26
113,00000111100110100101100001,26
114,00000111100110100101100010,26
115,00000111100110100101100011,26
116,00000111100110100101100100,26
117,00000111100110100101100101,26
118,00000111100110100101100110,26
119,00000111100110100101100111,26
