symbol,code_bin,bit_length
0,00,2
1,01,2
2,101,3
3,1001,4
4,1101,4
5,10001,5
6,11101,5
7,11111,5
8,100001,6
9,110001,6
10,111000,6
11,110011,6
12,111001,6
13,111101,6
14,1100001,7
15,1111001,7
16,10000000,8
17,11001000,8
18,11001010,8
19,11110000,8
20,10000001,8
21,11000000,8
22,11001001,8
23,100000111,9
24,100000110,9
25,110010110,9
26,110000011,9
27,111100011,9
28,111100010,9
29,1000001010,10
30,1000001011,10
31,11000001001,11
32,10000010010,11
33,10000010011,11
34,11000001011,11
35,10000010001,11
36,11000001010,11
37,11001011111,11
38,10000010000,11
39,11001011101,11
40,11001011110,11
41,110010111000,12
42,110000010000,12
43,110010111001,12
44,1100000100011,13
45,11000001000101,14
46,110000010001001,15
47,1100000100010000,16
48,1100000100010001001000,22
49,1100000100010001001001,22
50,1100000100010001001010,22
51,1100000100010001001011,22
52,1100000100010001001100,22
53,1100000100010001001101,22
54,1100000100010001001110,22
55,1100000100010001001111,22
56,1100000100010001010000,22
57,1100000100010001010001,22
58,1100000100010001010010,22
59,1100000100010001010011,22
60,1100000100010001010100,22
61,1100000100010001010101,22
62,1100000100010001010110,22
63,1100000100010001010111,22
64,1100000100010001011000,22
65,1100000100010001011001,22
66,1100000100010001011010,22
67,1100000100010001011011,22
68,1100000100010001011100,22
69,1100000100010001011101,22
70,1100000100010001011110,22
71,1100000100010001011111,22
72,1100000100010001100000,22
73,1100000100010001100001,22
74,1100000100010001100010,22
75,1100000100010001100011,22
76,1100000100010001100100,22
77,1100000100010001100101,22
78,1100000100010001100110,22
79,1100000100010001100111,22
80,1100000100010001101000,22
81,1100000100010001101001,22
82,1100000100010001101010,22
83,1100000100010001101011,22
84,1100000100010001101100,22
85,1100000100010001101101,22
86,1100000100010001101110,22
87,1100000100010001101111,22
88,1100000100010001110000,22
89,1100000100010001110001,22
90,1100000100010001110010,22
91,1100000100010001110011,22
92,1100000100010001110100,22
93,1100000100010001110101,22
94,1100000100010001110110,22
95,1100000100010001110111,22
96,1100000100010001111000,22
97,1100000100010001111001,22
98,1100000100010001111010,22
99,1100000100010001111011,22
100,1100000100010001111100,22
101,1100000100010001111101,22
102,1100000100010001111110,22
103,1100000100010001111111,22
104,11000001000100010000000,23
105,11000001000100010000001,23
106,11000001000100010000010,23
107,11000001000100010000011,23
108,11000001000100010000100,23
109,11000001000100010000101,23
110,11000001000100010000110,23
111,11000001000100010000111,23
112,11000001000100010001000,23
113,11000001000100010001001,23
114,11000001000100010001010,23
115,11000001000100010001011,23
116,11000001000100010001100,23
117,11000001000100010001101,23
118,11000001000100010001110,23
119,11000001000100010001111,23
